changing_var,local_exp_idx,value,training_method,avg_test_loss,spearmanr,pearsonr,final_mse
n_samples,0,16,active,0.19789430379867554,0.3820335268974304,0.37310606241226196,0.19853810966014862
n_samples,0,16,standard,0.3209156960248947,0.2707461714744568,0.2942858636379242,0.3208061158657074
n_samples,1,32,active,0.18404399812221528,0.5457838773727417,0.5027089715003967,0.18441760540008545
n_samples,1,32,standard,0.17345030397176742,0.41655033826828003,0.42222538590431213,0.1739862561225891
n_samples,2,48,active,0.23671244144439696,0.37842512130737305,0.4104236960411072,0.23757915198802948
n_samples,2,48,standard,0.1478353327512741,0.5416661500930786,0.5515955686569214,0.14799106121063232
n_samples,3,64,active,0.26093694508075715,0.363969624042511,0.34351658821105957,0.2614147663116455
n_samples,3,64,standard,0.14617342948913575,0.4821382462978363,0.5162093043327332,0.14657220244407654
n_samples,4,80,active,0.20410750538110733,0.4234471917152405,0.4664885699748993,0.2040160447359085
n_samples,4,80,standard,0.13041228100657462,0.6168352365493774,0.6106725931167603,0.1309538632631302
n_samples,5,96,active,0.17257827550172805,0.4761050343513489,0.5070119500160217,0.17307795584201813
n_samples,5,96,standard,0.17932792603969575,0.5219788551330566,0.5328930020332336,0.1797632873058319
n_samples,6,112,active,0.25295735001564024,0.5799745321273804,0.5973801612854004,0.25316816568374634
n_samples,6,112,standard,0.15467626303434373,0.5817313194274902,0.5981870293617249,0.15495003759860992
n_samples,7,128,active,0.14187903225421905,0.6354112029075623,0.6260311603546143,0.14210180938243866
n_samples,7,128,standard,0.1274247197806835,0.6063584089279175,0.6228821277618408,0.12798947095870972
n_samples,8,144,active,0.2068739029765129,0.6059762239456177,0.6017025709152222,0.20715174078941345
n_samples,8,144,standard,0.1176184046268463,0.6590068340301514,0.6597349643707275,0.11758490651845932
n_samples,9,160,active,0.23797523349523544,0.5700727701187134,0.5702182054519653,0.23818136751651764
n_samples,9,160,standard,0.1323966160416603,0.6096063852310181,0.625721275806427,0.13262546062469482
n_samples,10,176,active,0.13069195926189422,0.6189386248588562,0.6387725472450256,0.13078367710113525
n_samples,10,176,standard,0.12778830140829087,0.6590161919593811,0.6625680923461914,0.1279900074005127
n_samples,11,192,active,0.134486320912838,0.611555814743042,0.629946231842041,0.13488879799842834
n_samples,11,192,standard,0.10969701305031776,0.7036587595939636,0.70184725522995,0.10998880118131638
n_samples,12,208,active,0.15228537052869798,0.6646554470062256,0.6795918345451355,0.1529245227575302
n_samples,12,208,standard,0.10529969215393066,0.6934957504272461,0.6992869973182678,0.10553452372550964
n_samples,13,224,active,0.10669961586594581,0.6657921075820923,0.675089955329895,0.1070762574672699
n_samples,13,224,standard,0.11134372666478157,0.6941438317298889,0.7071183919906616,0.11171583831310272
n_samples,14,240,active,0.11640228062868119,0.6767586469650269,0.687092661857605,0.11676143109798431
n_samples,14,240,standard,0.09739908307790757,0.7066435813903809,0.7181017398834229,0.09754791855812073
n_samples,15,256,active,0.10309619694948197,0.7019605040550232,0.7040693163871765,0.10308697074651718
n_samples,15,256,standard,0.09618841052055359,0.7118299007415771,0.7174005508422852,0.09636104106903076
